1,2727
3,2729
5,2731
8,2734
9,2735
12,2735
13,2738
14,2739
18,2729
19,2743
20,2744
23,2747
24,2748
23,2752
29,2754
30,2755
32,2754
33,2754
14,2757
35,2759
38,2729
41,2764
43,2766
44,2767
47,2770
14,2773
8,2775
8,2776
51,2777
53,2754
9,2779
54,2780
55,2781
58,2784
14,2785
59,2754
62,2788
69,2795
8,2799
74,2802
75,2770
76,2803
80,2807
82,2809
84,2811
86,2813
88,2815
89,2816
91,2811
93,2819
94,2735
95,2820
96,2735
51,2781
8,2822
99,2735
8,2824
102,2826
23,2830
107,2832
23,2835
111,2837
113,2839
117,2843
118,2844
76,2735
120,2754
123,2848
124,2849
62,2852
127,2729
128,2854
129,2815
130,2795
132,2856
133,2857
8,2864
141,2866
143,2869
130,2871
8,2779
145,2872
146,2873
8,2764
9,2876
8,2879
151,2880
44,2881
154,2770
155,2884
44,2887
161,2890
162,2735
163,2754
23,2891
8,2892
165,2894
167,2896
9,2898
169,2899
172,2902
8,2905
176,2735
178,2909
179,2910
8,2912
8,2914
120,2754
8,2918
185,2919
186,2735
189,2731
191,2729
192,2924
162,2735
194,2928
195,2754
198,2930
58,2933
203,2936
8,2937
32,2754
8,2941
206,2754
207,2942
23,2943
208,2754
218,2952
219,2953
220,2754
102,2826
24,2735
223,2937
23,2943
226,2754
14,2894
32,2754
227,2959
230,2729
231,2962
163,2754
234,2924
14,2966
8,2967
130,2968
235,2969
55,2970
14,2976
240,2731
241,2977
51,2979
243,2980
244,2981
245,2982
247,2984
252,2989
256,2754
257,2735
130,2993
258,2994
8,2995
23,2997
261,2775
262,2770
14,2999
161,3000
263,2735
265,2848
266,2735
8,3004
269,3007
234,2754
270,3008
44,3009
23,3016
82,2735
14,3017
278,2876
279,2735
130,2735
281,3020
283,3022
284,3023
285,3024
38,3027
289,2735
240,2754
291,2754
292,2729
263,2735
295,3032
47,3033
296,3035
299,2820
301,2879
8,3041
130,3045
308,3047
309,2813
14,3048
8,3049
312,2729
313,2775
314,2928
315,3053
203,3055
317,2735
